,datetime,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,day,month,year,hour,saison,week_day
0,2011-01-01 00:00:00,0.0,0.0,1.0,9.84,14.395,81.0,0.0,3.0,13.0,16.0,1,1,2011,0,Hiver,Saturday
1,2011-01-01 01:00:00,0.0,0.0,1.0,9.02,13.635,80.0,0.0,8.0,32.0,40.0,1,1,2011,1,Hiver,Saturday
2,2011-01-01 02:00:00,0.0,0.0,1.0,9.02,13.635,80.0,0.0,5.0,27.0,32.0,1,1,2011,2,Hiver,Saturday
3,2011-01-01 03:00:00,0.0,0.0,1.0,9.84,14.395,75.0,0.0,3.0,10.0,13.0,1,1,2011,3,Hiver,Saturday
4,2011-01-01 04:00:00,0.0,0.0,1.0,9.84,14.395,75.0,0.0,0.0,1.0,1.0,1,1,2011,4,Hiver,Saturday
5,2011-01-01 05:00:00,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,0.0,1.0,1.0,1,1,2011,5,Hiver,Saturday
6,2011-01-01 06:00:00,0.0,0.0,1.0,9.02,13.635,80.0,0.0,2.0,0.0,2.0,1,1,2011,6,Hiver,Saturday
7,2011-01-01 07:00:00,0.0,0.0,1.0,8.2,12.88,86.0,0.0,1.0,2.0,3.0,1,1,2011,7,Hiver,Saturday
8,2011-01-01 08:00:00,0.0,0.0,1.0,9.84,14.395,75.0,0.0,1.0,7.0,8.0,1,1,2011,8,Hiver,Saturday
9,2011-01-01 09:00:00,0.0,0.0,1.0,13.12,17.425,76.0,0.0,8.0,6.0,14.0,1,1,2011,9,Hiver,Saturday
10,2011-01-01 10:00:00,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,12.0,24.0,36.0,1,1,2011,10,Hiver,Saturday
11,2011-01-01 11:00:00,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,26.0,30.0,56.0,1,1,2011,11,Hiver,Saturday
12,2011-01-01 12:00:00,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,29.0,55.0,84.0,1,1,2011,12,Hiver,Saturday
13,2011-01-01 13:00:00,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,47.0,47.0,94.0,1,1,2011,13,Hiver,Saturday
14,2011-01-01 14:00:00,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,35.0,71.0,106.0,1,1,2011,14,Hiver,Saturday
15,2011-01-01 15:00:00,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,40.0,70.0,110.0,1,1,2011,15,Hiver,Saturday
16,2011-01-01 16:00:00,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,41.0,52.0,93.0,1,1,2011,16,Hiver,Saturday
17,2011-01-01 17:00:00,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,15.0,52.0,67.0,1,1,2011,17,Hiver,Saturday
18,2011-01-01 18:00:00,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,9.0,26.0,35.0,1,1,2011,18,Hiver,Saturday
19,2011-01-01 19:00:00,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,6.0,31.0,37.0,1,1,2011,19,Hiver,Saturday
20,2011-01-01 20:00:00,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,11.0,25.0,36.0,1,1,2011,20,Hiver,Saturday
21,2011-01-01 21:00:00,0.0,0.0,2.0,16.4,20.455,87.0,12.998,3.0,31.0,34.0,1,1,2011,21,Hiver,Saturday
22,2011-01-01 22:00:00,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,11.0,17.0,28.0,1,1,2011,22,Hiver,Saturday
23,2011-01-01 23:00:00,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,15.0,24.0,39.0,1,1,2011,23,Hiver,Saturday
24,2011-01-02 00:00:00,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,4.0,13.0,17.0,2,1,2011,0,Hiver,Sunday
25,2011-01-02 01:00:00,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,1.0,16.0,17.0,2,1,2011,1,Hiver,Sunday
26,2011-01-02 02:00:00,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,1.0,8.0,9.0,2,1,2011,2,Hiver,Sunday
27,2011-01-02 03:00:00,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,4.0,6.0,2,1,2011,3,Hiver,Sunday
28,2011-01-02 04:00:00,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,1.0,3.0,2,1,2011,4,Hiver,Sunday
29,2011-01-02 05:00:00,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,0.0,0.0,0.0,2,1,2011,5,Hiver,Sunday
30,2011-01-02 06:00:00,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,0.0,2.0,2.0,2,1,2011,6,Hiver,Sunday
31,2011-01-02 07:00:00,0.0,0.0,2.0,16.4,20.455,76.0,12.998,0.0,1.0,1.0,2,1,2011,7,Hiver,Sunday
32,2011-01-02 08:00:00,0.0,0.0,3.0,16.4,20.455,71.0,15.0013,0.0,8.0,8.0,2,1,2011,8,Hiver,Sunday
33,2011-01-02 09:00:00,0.0,0.0,2.0,15.58,19.695,76.0,15.0013,1.0,19.0,20.0,2,1,2011,9,Hiver,Sunday
34,2011-01-02 10:00:00,0.0,0.0,2.0,14.76,17.425,81.0,15.0013,7.0,46.0,53.0,2,1,2011,10,Hiver,Sunday
35,2011-01-02 11:00:00,0.0,0.0,2.0,14.76,16.665,71.0,16.9979,16.0,54.0,70.0,2,1,2011,11,Hiver,Sunday
36,2011-01-02 12:00:00,0.0,0.0,2.0,14.76,16.665,66.0,19.9995,20.0,73.0,93.0,2,1,2011,12,Hiver,Sunday
37,2011-01-02 13:00:00,0.0,0.0,2.0,14.76,17.425,66.0,8.9981,11.0,64.0,75.0,2,1,2011,13,Hiver,Sunday
38,2011-01-02 14:00:00,0.0,0.0,3.0,14.76,17.425,76.0,12.998,4.0,55.0,59.0,2,1,2011,14,Hiver,Sunday
39,2011-01-02 15:00:00,0.0,0.0,3.0,13.94,16.665,81.0,11.0014,19.0,55.0,74.0,2,1,2011,15,Hiver,Sunday
40,2011-01-02 16:00:00,0.0,0.0,3.0,13.94,16.665,71.0,11.0014,9.0,67.0,76.0,2,1,2011,16,Hiver,Sunday
41,2011-01-02 17:00:00,0.0,0.0,1.0,13.94,16.665,57.0,12.998,7.0,58.0,65.0,2,1,2011,17,Hiver,Sunday
42,2011-01-02 18:00:00,0.0,0.0,2.0,14.76,16.665,46.0,22.0028,10.0,43.0,53.0,2,1,2011,18,Hiver,Sunday
43,2011-01-02 19:00:00,0.0,0.0,1.0,13.12,14.395,42.0,30.0026,1.0,29.0,30.0,2,1,2011,19,Hiver,Sunday
44,2011-01-02 20:00:00,0.0,0.0,1.0,12.3,13.635,39.0,23.9994,5.0,17.0,22.0,2,1,2011,20,Hiver,Sunday
45,2011-01-02 21:00:00,0.0,0.0,1.0,10.66,11.365,44.0,22.0028,11.0,20.0,31.0,2,1,2011,21,Hiver,Sunday
46,2011-01-02 22:00:00,0.0,0.0,1.0,9.84,10.605,44.0,19.9995,0.0,9.0,9.0,2,1,2011,22,Hiver,Sunday
47,2011-01-02 23:00:00,0.0,0.0,1.0,9.02,11.365,47.0,11.0014,0.0,8.0,8.0,2,1,2011,23,Hiver,Sunday
48,2011-01-03 00:00:00,0.0,1.0,1.0,9.02,9.85,44.0,23.9994,0.0,5.0,5.0,3,1,2011,0,Hiver,Monday
49,2011-01-03 01:00:00,0.0,1.0,1.0,8.2,8.335,44.0,27.9993,0.0,2.0,2.0,3,1,2011,1,Hiver,Monday
50,2011-01-03 02:00:00,0.0,1.0,1.0,6.56,6.82,47.0,26.0027,0.0,0.0,0.0,3,1,2011,2,Hiver,Monday
51,2011-01-03 03:00:00,0.0,1.0,1.0,6.56,6.82,47.0,26.0027,0.0,0.0,0.0,3,1,2011,3,Hiver,Monday
52,2011-01-03 04:00:00,0.0,1.0,1.0,6.56,6.82,47.0,26.0027,0.0,1.0,1.0,3,1,2011,4,Hiver,Monday
53,2011-01-03 05:00:00,0.0,1.0,1.0,6.56,6.82,47.0,19.0012,0.0,3.0,3.0,3,1,2011,5,Hiver,Monday
54,2011-01-03 06:00:00,0.0,1.0,1.0,5.74,5.305,50.0,26.0027,0.0,30.0,30.0,3,1,2011,6,Hiver,Monday
55,2011-01-03 07:00:00,0.0,1.0,1.0,5.74,6.82,50.0,12.998,1.0,63.0,64.0,3,1,2011,7,Hiver,Monday
56,2011-01-03 08:00:00,0.0,1.0,1.0,5.74,6.06,50.0,19.0012,1.0,153.0,154.0,3,1,2011,8,Hiver,Monday
57,2011-01-03 09:00:00,0.0,1.0,1.0,6.56,6.82,43.0,26.0027,7.0,81.0,88.0,3,1,2011,9,Hiver,Monday
58,2011-01-03 10:00:00,0.0,1.0,1.0,7.38,8.335,43.0,16.9979,11.0,33.0,44.0,3,1,2011,10,Hiver,Monday
59,2011-01-03 11:00:00,0.0,1.0,1.0,8.2,9.09,40.0,22.0028,10.0,41.0,51.0,3,1,2011,11,Hiver,Monday
60,2011-01-03 12:00:00,0.0,1.0,1.0,9.02,10.605,35.0,19.9995,13.0,48.0,61.0,3,1,2011,12,Hiver,Monday
61,2011-01-03 13:00:00,0.0,1.0,1.0,9.84,10.605,35.0,19.0012,8.0,53.0,61.0,3,1,2011,13,Hiver,Monday
62,2011-01-03 14:00:00,0.0,1.0,1.0,10.66,12.12,30.0,19.0012,11.0,66.0,77.0,3,1,2011,14,Hiver,Monday
63,2011-01-03 15:00:00,0.0,1.0,1.0,10.66,12.12,30.0,16.9979,14.0,58.0,72.0,3,1,2011,15,Hiver,Monday
64,2011-01-03 16:00:00,0.0,1.0,1.0,10.66,12.12,30.0,16.9979,9.0,67.0,76.0,3,1,2011,16,Hiver,Monday
65,2011-01-03 17:00:00,0.0,1.0,1.0,9.84,11.365,30.0,15.0013,11.0,146.0,157.0,3,1,2011,17,Hiver,Monday
66,2011-01-03 18:00:00,0.0,1.0,1.0,9.84,12.88,32.0,7.0015,9.0,148.0,157.0,3,1,2011,18,Hiver,Monday
67,2011-01-03 19:00:00,0.0,1.0,1.0,8.2,12.88,47.0,0.0,8.0,102.0,110.0,3,1,2011,19,Hiver,Monday
68,2011-01-03 20:00:00,0.0,1.0,1.0,8.2,11.365,47.0,7.0015,3.0,49.0,52.0,3,1,2011,20,Hiver,Monday
69,2011-01-03 21:00:00,0.0,1.0,1.0,7.38,9.85,64.0,8.9981,3.0,49.0,52.0,3,1,2011,21,Hiver,Monday
70,2011-01-03 22:00:00,0.0,1.0,1.0,5.74,7.575,69.0,8.9981,0.0,20.0,20.0,3,1,2011,22,Hiver,Monday
71,2011-01-03 23:00:00,0.0,1.0,1.0,7.38,10.605,55.0,7.0015,1.0,11.0,12.0,3,1,2011,23,Hiver,Monday
72,2011-01-04 00:00:00,0.0,1.0,1.0,6.56,9.09,55.0,7.0015,0.0,5.0,5.0,4,1,2011,0,Hiver,Tuesday
73,2011-01-04 01:00:00,0.0,1.0,1.0,6.56,9.09,59.0,7.0015,0.0,2.0,2.0,4,1,2011,1,Hiver,Tuesday
74,2011-01-04 02:00:00,0.0,1.0,1.0,5.74,7.575,63.0,8.9981,0.0,1.0,1.0,4,1,2011,2,Hiver,Tuesday
75,2011-01-04 03:00:00,0.0,1.0,1.0,5.74,9.09,63.0,6.0032,0.0,0.0,0.0,4,1,2011,3,Hiver,Tuesday
76,2011-01-04 04:00:00,0.0,1.0,1.0,5.74,9.09,63.0,6.0032,0.0,2.0,2.0,4,1,2011,4,Hiver,Tuesday
77,2011-01-04 05:00:00,0.0,1.0,1.0,4.92,7.575,68.0,7.0015,0.0,4.0,4.0,4,1,2011,5,Hiver,Tuesday
78,2011-01-04 06:00:00,0.0,1.0,1.0,4.92,7.575,74.0,7.0015,0.0,36.0,36.0,4,1,2011,6,Hiver,Tuesday
79,2011-01-04 07:00:00,0.0,1.0,1.0,4.92,7.575,74.0,8.9981,2.0,92.0,94.0,4,1,2011,7,Hiver,Tuesday
80,2011-01-04 08:00:00,0.0,1.0,1.0,5.74,7.575,69.0,11.0014,2.0,177.0,179.0,4,1,2011,8,Hiver,Tuesday
81,2011-01-04 09:00:00,0.0,1.0,1.0,6.56,7.575,64.0,15.0013,2.0,98.0,100.0,4,1,2011,9,Hiver,Tuesday
82,2011-01-04 10:00:00,0.0,1.0,2.0,6.56,6.82,69.0,22.0028,5.0,37.0,42.0,4,1,2011,10,Hiver,Tuesday
83,2011-01-04 11:00:00,0.0,1.0,1.0,9.02,10.605,51.0,19.9995,7.0,50.0,57.0,4,1,2011,11,Hiver,Tuesday
84,2011-01-04 12:00:00,0.0,1.0,1.0,9.02,11.365,51.0,11.0014,12.0,66.0,78.0,4,1,2011,12,Hiver,Tuesday
85,2011-01-04 13:00:00,0.0,1.0,1.0,9.84,11.365,56.0,12.998,18.0,79.0,97.0,4,1,2011,13,Hiver,Tuesday
86,2011-01-04 14:00:00,0.0,1.0,1.0,10.66,12.88,52.0,15.0013,9.0,54.0,63.0,4,1,2011,14,Hiver,Tuesday
87,2011-01-04 15:00:00,0.0,1.0,1.0,11.48,13.635,52.0,16.9979,17.0,48.0,65.0,4,1,2011,15,Hiver,Tuesday
88,2011-01-04 16:00:00,0.0,1.0,1.0,12.3,14.395,49.0,16.9979,15.0,68.0,83.0,4,1,2011,16,Hiver,Tuesday
89,2011-01-04 17:00:00,0.0,1.0,1.0,11.48,13.635,48.0,15.0013,10.0,202.0,212.0,4,1,2011,17,Hiver,Tuesday
90,2011-01-04 18:00:00,0.0,1.0,1.0,10.66,12.88,48.0,12.998,3.0,179.0,182.0,4,1,2011,18,Hiver,Tuesday
91,2011-01-04 19:00:00,0.0,1.0,1.0,9.84,12.88,48.0,7.0015,2.0,110.0,112.0,4,1,2011,19,Hiver,Tuesday
92,2011-01-04 20:00:00,0.0,1.0,1.0,9.84,12.88,48.0,7.0015,1.0,53.0,54.0,4,1,2011,20,Hiver,Tuesday
93,2011-01-04 21:00:00,0.0,1.0,1.0,9.02,13.635,64.0,0.0,0.0,48.0,48.0,4,1,2011,21,Hiver,Tuesday
94,2011-01-04 22:00:00,0.0,1.0,1.0,9.02,12.88,64.0,6.0032,1.0,34.0,35.0,4,1,2011,22,Hiver,Tuesday
95,2011-01-04 23:00:00,0.0,1.0,1.0,8.2,11.365,69.0,6.0032,2.0,9.0,11.0,4,1,2011,23,Hiver,Tuesday
96,2011-01-05 00:00:00,0.0,1.0,1.0,8.2,12.88,64.0,0.0,0.0,6.0,6.0,5,1,2011,0,Hiver,Wednesday
97,2011-01-05 01:00:00,0.0,1.0,1.0,6.56,9.85,74.0,6.0032,0.0,6.0,6.0,5,1,2011,1,Hiver,Wednesday
98,2011-01-05 02:00:00,0.0,1.0,1.0,6.56,9.85,74.0,6.0032,0.0,2.0,2.0,5,1,2011,2,Hiver,Wednesday
99,2011-01-05 03:00:00,0.0,1.0,1.0,9.84,11.365,48.0,15.0013,0.0,0.0,0.0,5,1,2011,3,Hiver,Wednesday
100,2011-01-05 04:00:00,0.0,1.0,1.0,9.84,11.365,48.0,15.0013,0.0,2.0,2.0,5,1,2011,4,Hiver,Wednesday
101,2011-01-05 05:00:00,0.0,1.0,1.0,9.02,11.365,47.0,11.0014,0.0,3.0,3.0,5,1,2011,5,Hiver,Wednesday
102,2011-01-05 06:00:00,0.0,1.0,1.0,8.2,9.85,47.0,15.0013,0.0,33.0,33.0,5,1,2011,6,Hiver,Wednesday
103,2011-01-05 07:00:00,0.0,1.0,1.0,7.38,9.09,43.0,12.998,1.0,87.0,88.0,5,1,2011,7,Hiver,Wednesday
104,2011-01-05 08:00:00,0.0,1.0,1.0,8.2,9.09,40.0,19.9995,3.0,192.0,195.0,5,1,2011,8,Hiver,Wednesday
105,2011-01-05 09:00:00,0.0,1.0,1.0,9.02,9.85,37.0,22.0028,6.0,109.0,115.0,5,1,2011,9,Hiver,Wednesday
